timestep;x;y;z;w;p;r
7788;159.328812;139.328842;-204.000015;-176;1;84
7792;159.753113;139.753128;-204;-176;1;84
7796;160;140;-203.749176;-176;1;84
7800;160;140;-203.1492;-176;1;84
7804;160;140;-202.549149;-176;1;84
7808;159.999985;140;-201.949158;-176;1;84
7812;160;140;-201.349136;-176;1;84
7816;160;140;-200.749161;-176;1;84
7820;160;140;-200.149185;-176;1;84
7824;160;140;-199.549149;-176;1;84
7828;160;140;-198.949173;-176;1;84
7832;160;140;-198.349121;-176;1;84
7836;160;140;-197.749176;-176;1;84
7840;160;140;-197.1492;-176;1;84
7844;160;140;-196.549149;-176;1;84
7848;160;140;-195.949142;-176;1;84
7852;160;140;-195.349197;-176;1;84
7856;160;140;-194.749146;-176;1;84
7860;160;140;-194.14917;-176;1;84
7864;160;140;-193.549164;-176;1;84
7868;160;140;-192.949173;-176;1;84
7872;160;140;-192.349197;-176;1;84
7876;160;140;-191.74913;-176;1;84
7880;160;139.999985;-191.14917;-176;1;84
7884;160;140;-190.549133;-176;1;84
7888;160;140;-189.949158;-176;1;84
7892;160;140;-189.351486;-176;1;84
7896;160;140;-188.758957;-176;1;84
7900;160;140;-188.171585;-176;1;84
7904;160;140;-187.589325;-176;1;84
7908;160;140;-187.012238;-176;1;84
7912;160;140.000015;-186.440231;-176;1;84
7916;160;140;-185.873215;-176;1;84
7920;160;140.000015;-185.31131;-176;1;84
7924;160;140;-184.754333;-176;1;84
7928;160;140;-184.202408;-176;1;84
7932;160;140;-183.655396;-176;1;84
7936;160;140;-183.113266;-176;1;84
7940;160;139.999985;-182.576111;-176;1;84
7944;160;140;-182.04364;-176;1;84
7948;160;140;-181.516144;-176;1;84
7952;160;139.999985;-180.993301;-176;1;84
7956;160;140;-180.47522;-176;1;84
7960;160;140;-179.961838;-176;1;84
7964;160;140;-179.453079;-176;1;84
7968;160;140;-178.948868;-176;1;84
7972;160;140;-178.44931;-176;1;84
7976;160;140;-177.954178;-176;1;84
7980;160;140;-177.463593;-176;1;84
7984;160;140;-176.977463;-176;1;84
7988;160;140;-176.49559;-176;1;84
7992;160;140;-176.018158;-176;1;84
7996;160;140;-175.544937;-176;1;84
8000;160;140.000015;-175.076035;-176;1;84
8004;160;140;-174.611282;-176;1;84
8008;160;140;-174.150787;-176;1;84
8012;160;140;-173.69429;-176;1;84
8016;160;140;-173.241867;-176;1;84
8020;160;140;-172.793549;-176;1;84
8024;160;139.999985;-172.349136;-176;1;84
8028;160;140;-171.90863;-176;1;84
8032;160;140;-171.472015;-176;1;84
8036;160;140;-171.039352;-176;1;84
8040;160;140;-170.610367;-176;1;84
8044;160;140;-170.18512;-176;1;84
8048;160;140;-169.763641;-176;1;84
8052;160;140;-169.345795;-176;1;84
8056;160;140;-168.931519;-176;1;84
8060;160;140;-168.520935;-176;1;84
8064;160;140;-168.11377;-176;1;84
8068;160;140;-167.710098;-176;1;84
8072;160;140;-167.30986;-176;1;84
8076;160;139.999985;-166.913116;-176;1;84
8080;160;140.000015;-166.519653;-176;1;84
8084;160;140;-166.129517;-176;1;84
8088;160;140;-165.742676;-176;1;84
8092;160;140;-165.359039;-176;1;84
8096;160;140;-164.978577;-176;1;84
8100;160;140;-164.601349;-176;1;84
8104;160;140;-164.227173;-176;1;84
8108;160;140;-164.000015;-176;1;84
