timestep;x;y;z;w;p;r
5188;111.900383;69.200508;-204;-176;1;84
5192;112.260414;69.68055;-204;-176;1;84
5196;112.620407;70.160538;-204;-176;1;84
5200;112.980408;70.640556;-204;-176;1;84
5204;113.340401;71.120537;-204;-176;1;84
5208;113.700394;71.600525;-204;-176;1;84
5212;114.06041;72.080551;-204;-176;1;84
5216;114.420395;72.560524;-203.999985;-176;1;84
5220;114.780434;73.040565;-204;-176;1;84
5224;115.140404;73.520531;-204;-176;1;84
5228;115.500389;74.000519;-204;-176;1;84
5232;115.86042;74.48056;-203.999985;-176;1;84
5236;116.220406;74.960548;-204;-176;1;84
5240;116.580429;75.440567;-204;-176;1;84
5244;116.940407;75.920547;-204;-176;1;84
5248;117.3004;76.400536;-204;-176;1;84
5252;117.660416;76.880554;-204;-176;1;84
5256;118.020401;77.360535;-204;-176;1;84
5260;118.380386;77.840523;-204;-176;1;84
5264;118.74041;78.320541;-204;-176;1;84
5268;119.100395;78.800529;-204;-176;1;84
5272;119.460426;79.280563;-204;-176;1;84
5276;119.820396;79.760536;-204;-176;1;84
5280;120;80;-203.699371;-176;1;84
5284;120;80;-203.099304;-176;1;84
5288;120;80;-202.499329;-176;1;84
5292;120;80;-201.899307;-176;1;84
5296;120;79.999992;-201.299332;-176;1;84
5300;120;80;-200.699341;-176;1;84
5304;120;80;-200.099319;-176;1;84
5308;120;80;-199.499344;-176;1;84
5312;119.999992;79.999992;-198.899277;-176;1;84
5316;120;80;-198.299332;-176;1;84
5320;120;80;-197.699356;-176;1;84
5324;119.999992;80;-197.099319;-176;1;84
5328;119.999992;79.999992;-196.499344;-176;1;84
5332;120.000008;80;-195.899307;-176;1;84
5336;120;80;-195.299332;-176;1;84
5340;119.999992;80;-194.699371;-176;1;84
5344;120.000008;80;-194.099319;-176;1;84
5348;120;80;-193.499329;-176;1;84
5352;120.000008;80;-192.899353;-176;1;84
5356;120;80;-192.299316;-176;1;84
5360;120.000008;80;-191.699356;-176;1;84
5364;120.000008;80;-191.099289;-176;1;84
5368;120.000008;80;-190.499329;-176;1;84
5372;120.000008;80;-189.899368;-176;1;84
5376;120.000008;80;-189.299316;-176;1;84
5380;120.000008;80;-188.699371;-176;1;84
5384;119.999992;80;-188.099289;-176;1;84
5388;120.000008;80;-187.499329;-176;1;84
5392;120.000008;80;-186.899368;-176;1;84
5396;120;80;-186.299316;-176;1;84
5400;120.000008;80;-185.699341;-176;1;84
5404;120.000008;80;-185.099319;-176;1;84
5408;120;80;-184.499344;-176;1;84
5412;120.000008;80;-183.899368;-176;1;84
5416;119.999992;80;-183.299301;-176;1;84
5420;120;80;-182.699356;-176;1;84
5424;119.999992;80;-182.099304;-176;1;84
5428;119.999992;80;-181.499313;-176;1;84
5432;119.999992;80;-180.899368;-176;1;84
5436;120.000008;80;-180.299316;-176;1;84
5440;120.000008;80;-179.699341;-176;1;84
5444;120.000008;80;-179.099319;-176;1;84
5448;120.000008;80;-178.499344;-176;1;84
5452;120;80;-177.899353;-176;1;84
5456;120.000008;80;-177.299332;-176;1;84
5460;120;80;-176.699326;-176;1;84
5464;120;80;-176.099365;-176;1;84
5468;120;80;-175.499329;-176;1;84
5472;120.000008;80;-174.899353;-176;1;84
5476;120;80;-174.299301;-176;1;84
5480;120.000008;80;-173.699326;-176;1;84
5484;120.000008;80;-173.099365;-176;1;84
5488;120;80;-172.499313;-176;1;84
5492;120;80;-171.899338;-176;1;84
5496;120.000008;80;-171.299301;-176;1;84
5500;120.000008;80;-170.699326;-176;1;84
5504;120;79.999992;-170.099365;-176;1;84
5508;120.000008;80;-169.499344;-176;1;84
5512;120;80;-168.899353;-176;1;84
5516;120;80;-168.299286;-176;1;84
5520;120;79.999992;-167.699356;-176;1;84
5524;120;80;-167.099365;-176;1;84
5528;120.000008;80;-166.499313;-176;1;84
5532;120;80;-165.899353;-176;1;84
5536;120;80;-165.299316;-176;1;84
5540;120.000008;80;-164.699326;-176;1;84
5544;119.999992;80;-164.099335;-176;1;84
5546;120;80;-164;-176;1;84
